budget,genres,keywords,original language,popularity,production company,release date,revenue,runtime,title,vote average,vote count
220000000,"Science Fiction,Action,Adventure,,,","new york,shield,marvel comic,superhero,based on comic book,alien invasion,superhero team,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe,,",en,144.448633,"Paramount Pictures,Marvel Studios,,,,,,,,",4/25/12,1519557910,143,The Avengers,7.4,11776
380000000,"Adventure,Action,Fantasy,,,","sea,captain,mutiny,sword,prime minister,sailing,silver,ship,duke,mermaid,pirate,soldier",en,135.413856,"Walt Disney Pictures,Jerry Bruckheimer Films,Moving Picture Company (MPC),,,,,,,",5/14/11,1045713802,136,Pirates of the Caribbean: On Stranger Tides,6.4,4948
225000000,"Action,Comedy,Science Fiction,,,","time travel,time machine,alien,fictional government agency,seeing the future,changing history,,,,,,",en,52.035179,"Amblin Entertainment,Media Magik Entertainment,Imagenation Abu Dhabi FZ,Hemisphere Media Capital,Parkes/MacDonald Productions,,,,,",5/23/12,624026776,106,Men in Black 3,6.2,4160
250000000,"Action,Adventure,Fantasy,,,","corruption,elves,dwarves,orcs,middle-earth (tolkien),hobbit,dragon,battle,unlikely friendship,epic battle,sword and sorcery,",en,120.965743,"WingNut Films,New Line Cinema,Warner Bros. Pictures,3Foot7,Metro-Goldwyn-Mayer (MGM),,,,,",12/10/14,956019788,144,The Hobbit: The Battle of the Five Armies,7.1,4760
215000000,"Action,Adventure,Fantasy,,,","loss of father,vigilante,serum,marvel comic,scientific experiment,spider bite,masked vigilante,reboot,super powers,genetic engineering,social outcast,duringcreditsstinger",en,89.866276,"Columbia Pictures,Laura Ziskin Productions,Marvel Entertainment,,,,,,,",6/27/12,752215857,136,The Amazing Spider-Man,6.5,6586
200000000,"Action,Adventure,,,,","robin hood,archer,knight,sherwood forest,bow and arrow,middle ages,medieval,king of england,,,,",en,37.668301,"Imagine Entertainment,Universal Pictures,Scott Free Productions,Relativity Media,,,,,,",5/12/10,310669540,140,Robin Hood,6.2,1398
250000000,"Adventure,Fantasy,,,,","elves,dwarves,orcs,hobbit,dragon,wizard,sword and sorcery,,,,,",en,94.370564,"WingNut Films,New Line Cinema,Warner Bros. Pictures,Metro-Goldwyn-Mayer (MGM),,,,,,",12/11/13,958400000,161,The Hobbit: The Desolation of Smaug,7.6,4524
180000000,"Adventure,Fantasy,,,,","england,compass,experiment,lordship,uncle,polar bear,orphan,animal,based on young adult novel,,,",en,42.990906,"New Line Cinema,Ingenious Film Partners,Depth of Field,Scholastic Productions,,,,,,",12/4/07,372234864,113,The Golden Compass,5.8,1303
207000000,"Adventure,Drama,Action,,,","film business,screenplay,show business,film making,film producer,exotic island,monster,indigenous,ship,dinosaur,,",en,61.22601,"WingNut Films,Universal Pictures,Big Primate Pictures,MFPV Film,,,,,,",12/14/05,550000000,187,King Kong,6.6,2337
200000000,"Drama,Romance,Thriller,,,","shipwreck,iceberg,ship,panic,titanic,ocean liner,epic,rich woman - poor man,love,disaster,tragic love,class differences",en,100.025899,"Paramount Pictures,Twentieth Century Fox Film Corporation,Lightstorm Entertainment,,,,,,,",11/18/97,1845034188,194,Titanic,7.5,7562
250000000,"Adventure,Action,Science Fiction,,,","civil war,war,marvel comic,sequel,superhero,based on comic book,imax,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe,3d,",en,198.372395,"Studio Babelsberg,Marvel Studios,Walt Disney Studios Motion Pictures,Vita-Ray Dutch Productions (III),Deluxe Digital Studios,,,,,",4/27/16,1153304495,147,Captain America: Civil War,7.1,7241
209000000,"Thriller,Action,Adventure,Science Fiction,,","fight,u.s. navy,mind reading,hong kong,soccer,scientist,fictional war,naval,armada,battleship,naval combat,jds myoko",en,64.928382,"Universal Pictures,Hasbro,Bluegrass Films,Film 44,,,,,,",4/11/12,303025485,131,Battleship,5.5,2114
150000000,"Action,Adventure,Science Fiction,Thriller,,","monster,dna,tyrannosaurus rex,velociraptor,island,sequel,suspense,disaster,escape,dinosaur,amusement park,animal attack",en,418.708552,"Universal Studios,Amblin Entertainment,Legendary Pictures,Fuji Television Network,Dentsu,,,,,",6/9/15,1513528810,124,Jurassic World,6.5,8662
200000000,"Action,Adventure,Thriller,,,","spy,secret agent,sociopath,killer,art gallery,british secret service,istanbul turkey,imax,uzi,booby trap,impersonating a police officer,macao",en,93.004993,"Columbia Pictures,,,,,,,,,",10/25/12,1108561013,143,Skyfall,6.9,7604
200000000,"Action,Adventure,Fantasy,,,","dual identity,love of one's life,pizza boy,marvel comic,sequel,superhero,doctor,scientist,tentacle,death,super villain,",en,35.149586,"Columbia Pictures,Laura Ziskin Productions,Marvel Enterprises,,,,,,,",6/25/04,783766341,127,Spider-Man 2,6.7,4321
200000000,"Action,Adventure,Science Fiction,,,","terrorist,war on terror,tennessee,malibu,marvel comic,superhero,based on comic book,tony stark,iron man,aftercreditsstinger,marvel cinematic universe,mandarin",en,77.68208,"Marvel Studios,,,,,,,,,",4/18/13,1215439994,130,Iron Man 3,6.8,8806
200000000,"Family,Fantasy,Adventure,,,","based on novel,fictional place,queen,fantasy,alice in wonderland,fantasy world,3d,,,,,",en,78.530105,"Walt Disney Pictures,Team Todd,Tim Burton Productions,Roth Films,Zanuck Company,,,,,",3/3/10,1025491110,108,Alice in Wonderland,6.4,4645
210000000,"Adventure,Action,Science Fiction,Thriller,,","mutant,marvel comic,based on comic book,superhuman,beast,cyclops,aftercreditsstinger,,,,,",en,3.857526,"Ingenious Film Partners,Twentieth Century Fox Film Corporation,Donners' Company,Dune Entertainment,Major Studio Partners,Bad Hat Harry Productions,thinkfilm,Marvel Enterprises,X3 Canada Productions,X3US Productions",5/24/06,459359555,104,X-Men: The Last Stand,6.3,3525
200000000,"Animation,Family,,,,","monster,dormitory,games,animation,best friend,university,scary,aftercreditsstinger,,,,",en,89.186492,"Walt Disney Pictures,Pixar Animation Studios,,,,,,,,",6/20/13,743559607,104,Monsters University,7,3528
150000000,"Science Fiction,Action,Adventure,,,","egypt,sun,chaos,symbol,artifact,transformers,tank,robot,imax,duringcreditsstinger,,",en,21.939663,"Paramount Pictures,DreamWorks SKG,Amblin Entertainment,Di Bonaventura Pictures,Platinum Dunes,Hasbro Studios,Revolution Sun Studios,,,",6/19/09,836297228,150,Transformers: Revenge of the Fallen,6,3138
210000000,"Science Fiction,Action,Adventure,,,","sequel,alien,transformers,giant robot,robot,imax,transforming robot,,,,,",en,116.840296,"Paramount Pictures,Amblin Entertainment,Di Bonaventura Pictures,Platinum Dunes,China Movie Channel,Hasbro Studios,Ian Bryce Productions,Revolution Sun Studios,,",6/25/14,1091405097,165,Transformers: Age of Extinction,5.8,3095
200000000,"Fantasy,Adventure,Family,,,","circus,witch,magic,hope,illusion,lost,magic trick,wizard,3d,,,",en,46.985445,"Walt Disney Pictures,Roth Films,,,,,,,,",3/7/13,491868548,130,Oz: The Great and Powerful,5.7,3530
200000000,"Action,Adventure,Fantasy,,,","obsession,marvel comic,sequel,based on comic book,electrocution,medical experiment,electricity,super powers,,,,",en,89.270217,"Columbia Pictures,Marvel Enterprises,Avi Arad Productions,Matt Tolmach Productions,,,,,,",4/16/14,705717432,142,The Amazing Spider-Man 2,6.5,4179
170000000,"Adventure,Action,Science Fiction,,,","artificial intelligence,secret identity,computer program,dystopia,computer,deception,duel,motorcycle,neon light,autocracy,,",en,73.79505,"Walt Disney Pictures,LivePlanet,Prana Studios,Sean Bailey Productions,Revolution Sun Studios,Kontsept Film Company,,,,",12/10/10,400062763,125,TRON: Legacy,6.3,2841
200000000,"Animation,Family,Adventure,Comedy,,","car race,sequel,comedy,anthropomorphism,best friend,duringcreditsstinger,,,,,,",en,49.98659,"Walt Disney Pictures,Pixar Animation Studios,,,,,,,,",6/11/11,559852396,106,Cars 2,5.8,2033
200000000,"Adventure,Action,Thriller,Science Fiction,,","dc comics,transformation,superhero,alien,alien infection,magical object,protector,super powers,origin,3d,,",en,51.872839,"De Line Pictures,Warner Bros.,DC Entertainment,,,,,,,",6/16/11,219851172,114,Green Lantern,5.1,2487
200000000,"Animation,Family,Comedy,,,","hostage,college,toy,barbie,animation,escape,day care,teddy bear,duringcreditsstinger,toy comes to life,personification,inanimate objects coming to life",en,59.995418,"Walt Disney Pictures,Pixar Animation Studios,,,,,,,,",6/16/10,1066969703,103,Toy Story 3,7.6,4597
200000000,"Action,Science Fiction,Thriller,,,","saving the world,artificial intelligence,prophecy,san francisco,cyborg,killer robot,gas station,post-apocalyptic,dystopia,army,firearm,wartime",en,71.862892,"Columbia Pictures,The Halcyon Company,Wonderland Sound and Vision,Warner Bros.,,,,,,",5/20/09,371353001,115,Terminator Salvation,5.9,2463
190000000,"Action,,,,,","car race,speed,revenge,suspense,car,race,muscle car,,,,,",en,102.322217,"Universal Pictures,Original Film,Fuji Television Network,Dentsu,One Race Films,China Film Co.,Qu\u00e9bec Production Services Tax Credit,Media Rights Capital (MRC),Abu Dhabi Film Commission,Colorado Office of Film",4/1/15,1506249360,137,Furious 7,7.3,4176
200000000,"Action,Drama,Horror,Science Fiction,Thriller,","dystopia,apocalypse,zombie,nuclear weapons,multiple perspectives,zombie apocalypse,,,,,,",en,81.834855,"Paramount Pictures,GK Films,Skydance Productions,Hemisphere Media Capital,Apparatus Productions,Latina Pictures,2DUX\u00b2,,,",6/20/13,531865000,116,World War Z,6.7,5560
250000000,"Action,Adventure,Fantasy,Science Fiction,,","1970s,mutant,time travel,marvel comic,based on comic book,superhuman,storm,beast,aftercreditsstinger,changing the past or future,,",en,118.078691,"Twentieth Century Fox Film Corporation,Donners' Company,Marvel Entertainment,Bad Hat Harry Productions,TSG Entertainment,Down Productions,Revolution Sun Studios,,,",5/15/14,747862775,131,X-Men: Days of Future Past,7.5,6032
190000000,"Action,Adventure,Science Fiction,,,","spacecraft,friendship,sequel,futuristic,space,alien,imax,space opera,terrorist bombing,3d,,",en,78.291018,"Paramount Pictures,Skydance Productions,Bad Robot,Kurtzman/Orci,,,,,,",5/5/13,467365246,132,Star Trek Into Darkness,7.4,4418
195000000,"Action,Family,Fantasy,,,","based on fairy tale,giant,,,,,,,,,,",en,43.349855,"New Line Cinema,Original Film,Legendary Pictures,Warner Bros.,Big Kid Pictures,Bad Hat Harry Productions,,,,",2/27/13,197687603,114,Jack the Giant Slayer,5.5,2598
105000000,"Drama,Romance,,,,","based on novel,infidelity,obsession,hope,3d,,,,,,,",en,61.196071,"Village Roadshow Pictures,Bazmark Films,Warner Bros.,A&E Television Networks,Red Wagon Entertainment,Spectrum Films,,,,",5/10/13,351040419,143,The Great Gatsby,7.3,3769
150000000,"Adventure,Fantasy,Action,Romance,,","persia,sandstorm,brother against brother,armageddon,regent,based on video game,,,,,,",en,62.169881,"Walt Disney Pictures,Jerry Bruckheimer Films,,,,,,,,",5/19/10,335154643,116,Prince of Persia: The Sands of Time,6.2,2317
180000000,"Action,Science Fiction,Adventure,,,","dystopia,giant robot,giant monster,apocalypse,imax,duringcreditsstinger,3d,,,,,",en,56.523205,"Legendary Pictures,Warner Bros.,Disney Double Dare You (DDY),Indochina Productions,,,,,,",7/11/13,407602906,131,Pacific Rim,6.7,4794
195000000,"Action,Science Fiction,Adventure,,,","moon,spacecraft,traitor,bodyguard,alien planet,based on cartoon,transformers,giant robot,sabotage,word domination,commando,duringcreditsstinger",en,28.529607,"Paramount Pictures,Di Bonaventura Pictures,Indochina Productions,Hasbro Studios,,,,,,",6/28/11,1123746996,154,Transformers: Dark of the Moon,6.1,3299
185000000,"Adventure,Action,,,,","saving the world,riddle,whip,treasure,mexico city,leather jacket,machinegun,alien phenomenons,maya civilization,peru,treasure hunt,nuclear explosion",en,75.674458,"Lucasfilm,Paramount Pictures,,,,,,,,",5/21/08,786636033,122,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
175000000,"Adventure,Animation,Family,,,","tyrannosaurus rex,friends,alternate history,dinosaur,fear,storm,nature,human,journey,,,",en,51.692953,"Walt Disney Pictures,Pixar Animation Studios,,,,,,,,",11/14/15,331926147,93,The Good Dinosaur,6.6,1736
185000000,"Animation,Adventure,Comedy,Family,Action,Fantasy","scotland,rebel,bravery,kingdom,archer,wish,bear,scot,rebellious daughter,turns into animal,archery,ruins",en,125.114374,"Walt Disney Pictures,Pixar Animation Studios,,,,,,,,",6/21/12,538983207,93,Brave,6.7,4641
185000000,"Action,Adventure,Science Fiction,,,","sequel,stranded,hatred,space opera,,,,,,,,",en,65.352913,"Paramount Pictures,Bad Robot,Perfect Storm Entertainment,Alibaba Pictures Group,Skydance Media,Sneaky Shark,Huahua Media,,,",7/7/16,343471816,122,Star Trek Beyond,6.6,2568
180000000,"Animation,Family,,,,","romantic comedy,,,,,,,,,,,",en,66.390712,"Walt Disney Pictures,Pixar Animation Studios,FortyFour Studios,,,,,,,",6/22/08,521311860,98,WALL·E,7.8,6296
140000000,"Action,Comedy,Crime,Thriller,,","ambassador,,,,,,,,,,,",en,22.57178,"New Line Cinema,,,,,,,,,",8/8/07,258022233,91,Rush Hour 3,6.1,783
200000000,"Action,Adventure,Science Fiction,,,","civilization,natural disaster,end of the world,disaster,apocalypse,destruction,volcanic eruption,mayan,ark,solar,destruction  of mankind,",en,45.274225,"Columbia Pictures,Centropolis Entertainment,The Mark Gordon Company,Farewell Productions,,,,,,",10/10/09,769653595,158,2012,5.6,4903
200000000,"Animation,Drama,,,,","holiday,based on novel,victorian england,money,christmas eve,scrooge,christmas carol,ghost,lesson,charles dickens,christmas,",en,39.744242,"Walt Disney,ImageMovers,,,,,,,,",11/4/09,325233863,96,A Christmas Carol,6.6,1095
176000003,"Science Fiction,Fantasy,Action,Adventure,,","jupiter,space,woman director,3d,interspecies romance,,,,,,,",en,85.36908,"Village Roadshow Pictures,Dune Entertainment,Anarchos Productions,Warner Bros.,,,,,,",2/4/15,183987723,124,Jupiter Ascending,5.2,2768
180000000,"Action,Adventure,,,,","africa,feral child,tarzan,jungle,animal attack,,,,,,,",en,42.741719,"Village Roadshow Pictures,Dark Horse Entertainment,Jerry Weintraub Productions,RatPac-Dune Entertainment,Beagle Pug Films,Riche Productions,Village Roadshow Films North America,,,",6/29/16,356743061,109,The Legend of Tarzan,5.5,2430
180000000,"Adventure,Family,Fantasy,,,","saving the world,witch,based on novel,brother sister relationship,self sacrifice,winter,cupboard,beaver,lion,fairy-tale figure,battle,narnia",en,67.391328,"Walt Disney,Walden Media,,,,,,,,",12/7/05,748806957,143,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
178000000,"Science Fiction,,,,,","mutant,supernatural powers,marvel comic,superhero,based on comic book,superhuman,apocalypse,superhero team,world domination,aftercreditsstinger,1980s,",en,139.272042,"Twentieth Century Fox Film Corporation,Donners' Company,Marvel Entertainment,Bad Hat Harry Productions,TSG Entertainment,Kinberg Genre,,,,",5/18/16,543934787,144,X-Men: Apocalypse,6.4,4721
185000000,"Drama,Action,Crime,Thriller,,","dc comics,crime fighter,secret identity,scarecrow,sadism,chaos,gotham city,vigilante,joker,superhero,based on comic book,tragic hero",en,187.322927,"DC Comics,Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy,,,,,",7/16/08,1004558444,152,The Dark Knight,8.2,12002
175000000,"Animation,Comedy,Family,Adventure,,","age difference,central and south america,balloon,animation,floating in the air,duringcreditsstinger,exploring,,,,,",en,92.201962,"Pixar Animation Studios,,,,,,,,,",5/13/09,735099082,96,Up,7.7,6870
175000000,"Animation,Family,Adventure,Science Fiction,,","alien,giant robot,duringcreditsstinger,,,,,,,,,",en,36.167578,"DreamWorks Animation,,,,,,,,,",3/19/09,381509870,94,Monsters vs Aliens,6,1423
140000000,"Action,Science Fiction,Adventure,,,","middle east,arms dealer,malibu,marvel comic,superhero,based on comic book,tony stark,iron man,aftercreditsstinger,marvel cinematic universe,counter terrorism,agent coulson",en,120.725053,"Marvel Studios,,,,,,,,,",4/30/08,585174222,126,Iron Man,7.4,8776
170000000,"Adventure,Drama,Family,,,","library,clock,film director,key,toy,boy,love,orphan,robot,automaton,hiding,filmmaking",en,32.319043,"Paramount Pictures,Infinitum Nihil,GK Films,,,,,,,",11/22/11,185770160,126,Hugo,7,2141
170000000,"Action,Adventure,Comedy,Science Fiction,Western,","steampunk,based on tv series,steam locomotive,drag,,,,,,,,",en,40.748915,"Todman,name,name,name,,,,,,",6/29/99,222104681,106,Wild Wild West,5.1,1020
145000000,"Adventure,Action,Fantasy,,,",",,,,,,,,,,,",en,60.034162,"Universal Pictures,China Film Co-Production Corporation,Relativity Media,Alphaville Films,Sommers Company,,,,,",7/1/08,401128639,112,The Mummy: Tomb of the Dragon Emperor,5.2,1387
175000000,"Action,Adventure,Crime,Fantasy,Science Fiction,","dc comics,shared universe,anti hero,secret mission,villain,superhero,supervillain,dc extended universe,,,,",en,90.23792,"DC Comics,Dune Entertainment,Atlas Entertainment,Warner Bros.,DC Entertainment,,,,,",8/2/16,745000000,123,Suicide Squad,5.9,7458
175000000,"Fantasy,Comedy,Family,,,","father son relationship,daily life,married couple,support,father,marriage,faith,baustelle,rescue,animal,nature,duringcreditsstinger",en,27.082182,"Columbia Pictures,Universal Pictures,Spyglass Entertainment,Shady Acres Entertainment,Original Film,Playtone,Relativity Media,,,",6/9/07,173000000,96,Evan Almighty,5.3,1151
178000000,"Action,Science Fiction,,,,","deja vu,time warp,restart,dystopia,war,alien,military officer,soldier,alien invasion,exoskeleton,,",en,79.456485,"Village Roadshow Pictures,Warner Bros.,Viz Media,Province of British Columbia Production Services Tax Credit,3 Arts Entertainment,RatPac-Dune Entertainment,,,,",5/27/14,370541256,113,Edge of Tomorrow,7.6,4858
175000000,"Adventure,Action,,,,","ocean,tattoo,mutant,water,dystopia,doomsday,,,,,,",en,44.640292,"Universal Pictures,Gordon Company,Davis Entertainment,Licht/Mueller Film Corporation,,,,,,",7/28/95,264218220,135,Waterworld,5.9,992
175000000,"Adventure,Action,Thriller,Science Fiction,,","terrorist,secret,hostage,technology,warhead,government,president,revenge,murder,attack,explosion,scientist",en,32.852443,"Paramount Pictures,Spyglass Entertainment,Di Bonaventura Pictures,Hasbro,Kontsept Film Company,,,,,",8/4/09,302469017,118,G.I. Joe: The Rise of Cobra,5.6,1962
175000000,"Drama,Comedy,Animation,Family,,","dream,cartoon,imaginary friend,animation,family,moving,kids,unicorn,duringcreditsstinger,3d,emotions,",en,128.655964,"Walt Disney Pictures,Pixar Animation Studios,,,,,,,,",6/9/15,857611174,94,Inside Out,8,6560
175000000,"Family,Adventure,Drama,Fantasy,,","based on novel,snake,wolf,elephant,tiger,feral child,panther,remake,bear,jungle,talking animal,orphan",en,94.199316,"Walt Disney Pictures,Walt Disney Studios Motion Pictures,Fairview Entertainment,Moving Picture Company (MPC),,,,,,",4/7/16,966550600,106,The Jungle Book,6.7,2892
200000000,"Adventure,Action,Science Fiction,,,","malibu,marvel comic,superhero,based on comic book,revenge,aftercreditsstinger,marvel cinematic universe,,,,,",en,77.300194,"Marvel Studios,,,,,,,,,",4/28/10,623933331,124,Iron Man 2,6.6,6849
170000000,"Adventure,Fantasy,Drama,,,","queen,magic,fairy tale,immortality,forest,deception,woman,eternal youth,snow white,evil queen,evil stepmother,imprisoned",en,77.178973,"Universal Pictures,Roth Films,,,,,,,,",5/30/12,396600000,127,Snow White and the Huntsman,5.8,3118
180000000,"Fantasy,Adventure,Action,Family,Romance,","fairy tale,villain,sleeping beauty,dark fantasy,based on fairy tale,adaptation,retelling,literary adaptation,3d,,,",en,110.620647,"Walt Disney Pictures,Walt Disney Studios Motion Pictures,Roth Films,,,,,,,",5/28/14,758539785,97,Maleficent,7,4496
170000000,"Science Fiction,Action,Drama,Thriller,,","leader,colony,post-apocalyptic,dystopia,forest,sequel,woods,ape,scientist,monkey,medical research,animal attack",en,243.791743,"Ingenious Media,Chernin Entertainment,TSG Entertainment,,,,,,,",6/26/14,710644566,130,Dawn of the Planet of the Apes,7.3,4410
27000000,"Action,Adventure,Science Fiction,Romance,,",",,,,,,,,,,,",en,2.418535,"Corsan,Bliss Media,Limelight International Media Entertainment,Neelmudra Entertainment,Aristos Films,Singularity Productions,Wildkite,,,",2/13/15,0,109,The Lovers,4.8,34
175000000,"Drama,Action,Adventure,Fantasy,,","japan,suicide,samurai,based on true story,samurai sword,ronin,shogun,half breed,3d,,,",en,41.796339,"Mid Atlantic Films,Stuber Productions,Universal,Moving Picture Company (MPC),H2F Entertainment,,,,,",12/6/13,150962475,119,47 Ronin,5.9,1326
170000000,"Action,Adventure,Science Fiction,,,","washington d.c.,future,shield,marvel comic,superhero,based on comic book,captain america,aftercreditsstinger,duringcreditsstinger,marvel cinematic universe,3d,political thriller",en,72.225265,"Marvel Studios,,,,,,,,,",3/20/14,714766572,136,Captain America: The Winter Soldier,7.6,5764
165000000,"Comedy,Adventure,Fantasy,Animation,Family,","ogre,3d,,,,,,,,,,",en,44.041186,"DreamWorks Animation,,,,,,,,,",5/16/10,752600867,93,Shrek Forever After,6,1959
190000000,"Adventure,Family,Mystery,Science Fiction,,","inventor,apocalypse,destiny,imax,dreamer,futuristic car,futuristic city,,,,,",en,130.311355,"Walt Disney Pictures,Babieka,A113,,,,,,,",5/19/15,209154322,130,Tomorrowland,6.2,2846
165000000,"Adventure,Family,Animation,Action,Comedy,","brother brother relationship,hero,talent,revenge,best friend,another dimension,robot,boy genius,hate,aftercreditsstinger,moral dilemma,3d",en,203.73459,"Walt Disney Pictures,Walt Disney Animation Studios,,,,,,,,",10/24/14,652105443,102,Big Hero 6,7.8,6135
165000000,"Family,Animation,Comedy,Adventure,,","support group,product placement,bullying,racing,arcade,medal,self esteem,curiosity,precocious child,aftercreditsstinger,duringcreditsstinger,first person shooter",en,62.341073,"Walt Disney Animation Studios,,,,,,,,,",11/1/12,471222889,108,Wreck-It Ralph,7.1,4570
165000000,"Adventure,Animation,Family,Fantasy,,","santa claus,nerd,faith,gift,bell,beard,north pole,chute,trestle,ticket,christmas,",en,47.323228,"Golden Mean,Playtone,ImageMovers,,,,,,,",11/10/04,305875730,100,The Polar Express,6.4,1474
165000000,"Action,Adventure,Science Fiction,,,","alternate history,alien invasion,,,,,,,,,,",en,48.775723,"Twentieth Century Fox Film Corporation,Centropolis Entertainment,TSG Entertainment,Stereo D,,,,,,",6/22/16,389681935,120,Independence Day: Resurgence,4.9,2491
165000000,"Fantasy,Adventure,Animation,Family,,","flying,blacksmith,arena,island,night,ship,training,village,forest,viking,friendship,ignorance",en,67.263269,"DreamWorks Animation,Vertigo Entertainment,Mad Hatter Entertainment,,,,,,,",3/5/10,494878759,98,How to Train Your Dragon,7.5,4227
